cheater1_rank,cheater1_username,cheater1_submission_id,cheater2_rank,cheater2_username,cheater2_submission_id,similarity_percentage
186,https://leetcode.com/u/Chandraprabhu,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327919596,1875,https://leetcode.com/u/isnoob,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327954451,55
192,https://leetcode.com/u/darkenigma,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327919030,2417,https://leetcode.com/u/ashunew28,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327940145,67
204,https://leetcode.com/u/Wilsano,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327911308,3392,https://leetcode.com/u/Gaurav_Tomar,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327922002,53
210,https://leetcode.com/u/PankajGhodla,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327917908,2994,https://leetcode.com/u/charlieterle,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327917143,72
211,https://leetcode.com/u/pasricha_dhruv,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918040,3635,https://leetcode.com/u/starkid2000,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909428,51
212,https://leetcode.com/u/angellim,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327903413,2726,https://leetcode.com/u/shirley_zq,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327911578,86
215,https://leetcode.com/u/vaibhav_134,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327922655,2808,https://leetcode.com/u/nainawat16,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327965324,83
216,https://leetcode.com/u/yaoyi92,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918728,2749,https://leetcode.com/u/DonaldChurchill,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327953095,61
217,https://leetcode.com/u/MayankSavaliya,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327908184,3129,https://leetcode.com/u/Dengxj,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327908220,50
221,https://leetcode.com/u/is2ac,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327907204,8651,https://leetcode.com/u/pranjal930,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327957090,85
223,https://leetcode.com/u/andy-lc,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918119,3665,https://leetcode.com/u/xy-li,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327929065,100
224,https://leetcode.com/u/usib2787,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327907494,3528,https://leetcode.com/u/itsabhishek9534,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327925797,77
225,https://leetcode.com/u/_Shinchan_,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327907599,2353,https://leetcode.com/u/kunaldiwakar31,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327925560,68
228,https://leetcode.com/u/Tushargoyal23,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909669,4488,https://leetcode.com/u/Anu0123,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327934171,81
230,https://leetcode.com/u/zheruilin,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909553,3751,https://leetcode.com/u/ulyx,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327931013,87
231,https://leetcode.com/u/viraj_vrj,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327914238,3979,https://leetcode.com/u/Rajeev_r_6656,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327935067,57
232,https://leetcode.com/u/amank13,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327908795,2789,https://leetcode.com/u/sasaurabh11,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327926336,80
233,https://leetcode.com/u/bluerose73,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918648,446,https://leetcode.com/u/shubhamvarshney200901,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327913161,100
237,https://leetcode.com/u/jacksoncai,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327913689,5213,https://leetcode.com/u/koan329,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327952289,52
240,https://leetcode.com/u/rithwikgupta,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327921525,3314,https://leetcode.com/u/anuragmudgil00,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909695,67
244,https://leetcode.com/u/pankaj_777,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327911746,321,https://leetcode.com/u/k1384,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909436,60
246,https://leetcode.com/u/vsukhoy,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327925249,516,https://leetcode.com/u/xiaojian9527,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327917795,71
248,https://leetcode.com/u/eatfood,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327907664,4127,https://leetcode.com/u/johnwu,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327928348,100
250,https://leetcode.com/u/changeme,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327898659,5730,https://leetcode.com/u/Anil_Patidar9617,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327958762,53
252,https://leetcode.com/u/ConnectedPuddle,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327904505,6705,https://leetcode.com/u/AbhishekManoharan,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327970208,52
253,https://leetcode.com/u/nguyenquocthao00,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327905434,4725,https://leetcode.com/u/k-zakisan,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327928408,71
254,https://leetcode.com/u/abhayg_07,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327902767,2789,https://leetcode.com/u/sasaurabh11,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327926336,67
255,https://leetcode.com/u/Fasdr,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327916134,9095,https://leetcode.com/u/rahulp1248,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327975398,67
258,https://leetcode.com/u/xymabinogi,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327903030,3358,https://leetcode.com/u/ketan_prakash,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327920837,68
264,https://leetcode.com/u/prabina123_swain,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327919493,3280,https://leetcode.com/u/shubham2941,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327917863,56
265,https://leetcode.com/u/littlemxrush,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327915991,6895,https://leetcode.com/u/infinage,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327972999,61
266,https://leetcode.com/u/CutSandstone,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912147,2752,https://leetcode.com/u/mittaludit768,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327928163,69
267,https://leetcode.com/u/_global,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912274,6811,https://leetcode.com/u/mrityunjoy527,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327956473,64
274,https://leetcode.com/u/Time-limit-exceed,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327921800,3618,https://leetcode.com/u/akrati23verma,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327928115,56
278,https://leetcode.com/u/chinnamsaireddy1369,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918175,9012,https://leetcode.com/u/hsvaruna13,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327995558,63
282,https://leetcode.com/u/hazzler,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327942050,3845,https://leetcode.com/u/yami_sukehiro13,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327923217,56
286,https://leetcode.com/u/brandybottle,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327923759,4735,https://leetcode.com/u/rahulmora007,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327946298,78
